date,type,src,dst,weight
2009-10-01,corr,ARG,BRA,0.7592545411323064
2009-10-01,corr,ARG,CHL,0.6958974887086016
2009-10-01,corr,ARG,COL,0.7648695674763962
2009-10-01,corr,ARG,DOM,0.8296062278158113
2009-10-01,corr,ARG,ECU,0.7164163918603995
2009-10-01,corr,ARG,MEX,0.7253283651698155
2009-10-01,corr,ARG,PAN,0.8116786999687742
2009-10-01,corr,ARG,PER,0.7861323736818118
2009-10-01,corr,ARG,SLV,0.856360832070097
2009-10-01,corr,ARG,URY,0.8904429726777299
2009-10-01,corr,BRA,CHL,0.5986907730541142
2009-10-01,corr,BRA,COL,0.9448194029953172
2009-10-01,corr,BRA,DOM,0.7154631347283229
2009-10-01,corr,BRA,ECU,0.43116286386675573
2009-10-01,corr,BRA,MEX,0.9196017947674057
2009-10-01,corr,BRA,PAN,0.9096254060561725
2009-10-01,corr,BRA,PER,0.8753740645147668
2009-10-01,corr,BRA,SLV,0.7500357076899906
2009-10-01,corr,BRA,URY,0.8187102563360881
2009-10-01,corr,CHL,COL,0.5735248861672415
2009-10-01,corr,CHL,DOM,0.5778017667638483
2009-10-01,corr,CHL,ECU,0.5479230963193882
2009-10-01,corr,CHL,MEX,0.5100921155933358
2009-10-01,corr,CHL,PAN,0.5015397897872118
2009-10-01,corr,CHL,PER,0.5138439340088534
2009-10-01,corr,CHL,SLV,0.5599122499725488
2009-10-01,corr,CHL,URY,0.7305189691636845
2009-10-01,corr,COL,DOM,0.8067288745564292
2009-10-01,corr,COL,ECU,0.510323655350052
2009-10-01,corr,COL,MEX,0.8984130920162293
2009-10-01,corr,COL,PAN,0.957951822322047
2009-10-01,corr,COL,PER,0.9381077164540224
2009-10-01,corr,COL,SLV,0.8138648467860564
2009-10-01,corr,COL,URY,0.8743897588232755
2009-10-01,corr,DOM,ECU,0.6867401667207425
2009-10-01,corr,DOM,MEX,0.6745504295706523
2009-10-01,corr,DOM,PAN,0.8617550342704906
2009-10-01,corr,DOM,PER,0.8686450932318506
2009-10-01,corr,DOM,SLV,0.9721051175833421
2009-10-01,corr,DOM,URY,0.8979739795239364
2009-10-01,corr,ECU,MEX,0.4253295410752476
2009-10-01,corr,ECU,PAN,0.6282362441284643
2009-10-01,corr,ECU,PER,0.6263378574895271
2009-10-01,corr,ECU,SLV,0.7112754383112314
2009-10-01,corr,ECU,URY,0.5951494409174345
2009-10-01,corr,MEX,PAN,0.9120006977610493
2009-10-01,corr,MEX,PER,0.8218871093008205
2009-10-01,corr,MEX,SLV,0.741098921255829
2009-10-01,corr,MEX,URY,0.7537474171445044
2009-10-01,corr,PAN,PER,0.9592976702334667
2009-10-01,corr,PAN,SLV,0.8966417116482301
2009-10-01,corr,PAN,URY,0.8616700882388679
2009-10-01,corr,PER,SLV,0.8764348960680253
2009-10-01,corr,PER,URY,0.8756674783519619
2009-10-01,corr,SLV,URY,0.8958859280735203
2009-10-01,partial,ARG,BRA,0.5298831358462311
2009-10-01,partial,ARG,CHL,0.5390306446843541
2009-10-01,partial,ARG,COL,0.5238122423494075
2009-10-01,partial,ARG,DOM,0.41311622480216653
2009-10-01,partial,ARG,MEX,0.5359300161711694
2009-10-01,partial,ARG,PAN,0.5680466909661186
2009-10-01,partial,ARG,PER,0.5959592746592929
2009-10-01,partial,BRA,CHL,0.9276011692957961
2009-10-01,partial,BRA,COL,0.9724054996748225
2009-10-01,partial,BRA,DOM,0.6009524165894846
2009-10-01,partial,BRA,ECU,0.9160589523534682
2009-10-01,partial,BRA,MEX,0.984154894359068
2009-10-01,partial,BRA,PAN,0.9752149016025329
2009-10-01,partial,BRA,PER,0.9646890772407389
2009-10-01,partial,BRA,SLV,0.6688180035018579
2009-10-01,partial,BRA,URY,0.737555022754166
2009-10-01,partial,CHL,COL,0.8658868081496992
2009-10-01,partial,CHL,DOM,0.661789626047899
2009-10-01,partial,CHL,ECU,0.819009321016558
2009-10-01,partial,CHL,MEX,0.9113530844237825
2009-10-01,partial,CHL,PAN,0.8552470026642827
2009-10-01,partial,CHL,PER,0.8662303772870017
2009-10-01,partial,CHL,SLV,0.5543306019811318
2009-10-01,partial,CHL,URY,0.7067724140329353
2009-10-01,partial,COL,DOM,0.4994808258988827
2009-10-01,partial,COL,ECU,0.9317126546334157
2009-10-01,partial,COL,MEX,0.960481856134076
2009-10-01,partial,COL,PAN,0.9784685371603107
2009-10-01,partial,COL,PER,0.9667264327957121
2009-10-01,partial,COL,SLV,0.677048115101578
2009-10-01,partial,COL,URY,0.7790823674281916
2009-10-01,partial,DOM,MEX,0.6119656777527868
2009-10-01,partial,DOM,PAN,0.5286159491035927
2009-10-01,partial,DOM,PER,0.5165378106485414
2009-10-01,partial,ECU,MEX,0.9027213899159909
2009-10-01,partial,ECU,PAN,0.9150065287739158
2009-10-01,partial,ECU,PER,0.9047355137182247
2009-10-01,partial,ECU,SLV,0.8152623103576507
2009-10-01,partial,ECU,URY,0.8940946471897564
