date,country,spread_bp
2007-10-01,ARG,311.642
2007-11-01,ARG,400.676
2007-12-01,ARG,409.71999999999997
2008-01-01,ARG,465.96999999999997
2008-02-01,ARG,503.018
2008-03-01,ARG,581.182
2008-04-01,ARG,562.853
2008-05-01,ARG,534.6669999999999
2008-06-01,ARG,614.025
2008-07-01,ARG,612.342
2008-08-01,ARG,670.55
2008-09-01,ARG,952.906
2008-10-01,ARG,1786.9569999999999
2008-11-01,ARG,1721.8039999999999
2008-12-01,ARG,1703.881
2009-01-01,ARG,1494.679
2009-02-01,ARG,1727.1540000000002
2009-03-01,ARG,1893.846
2009-04-01,ARG,1765.887
2009-05-01,ARG,1291.018
2009-06-01,ARG,1062.144
2009-07-01,ARG,961.8919999999999
2009-08-01,ARG,957.2710000000001
2009-09-01,ARG,783.524
2009-10-01,ARG,721.149
2009-11-01,ARG,765.8330000000001
2009-12-01,ARG,659.707
2010-01-01,ARG,753.366
2010-02-01,ARG,806.007
2010-03-01,ARG,645.826
2010-04-01,ARG,659.3860000000001
2010-05-01,ARG,807.026
2010-06-01,ARG,844.898
2010-07-01,ARG,721.135
2010-08-01,ARG,777.8489999999999
2010-09-01,ARG,688.534
2010-10-01,ARG,542.704
2010-11-01,ARG,597.008
2010-12-01,ARG,507.037
2011-01-01,ARG,552.49
2011-02-01,ARG,580.162
2011-03-01,ARG,539.407
2011-04-01,ARG,554.738
2011-05-01,ARG,591.742
2011-06-01,ARG,567.8779999999999
2011-07-01,ARG,592.067
2011-08-01,ARG,738.45
2011-09-01,ARG,993.0749999999999
2011-10-01,ARG,834.95
2011-11-01,ARG,941.0729999999999
2011-12-01,ARG,925.188
2012-01-01,ARG,839.729
2012-02-01,ARG,843.4189999999999
2012-03-01,ARG,880.144
2012-04-01,ARG,962.128
2012-05-01,ARG,1236.235
2012-06-01,ARG,1088.095
2012-07-01,ARG,1086.9379999999999
2012-08-01,ARG,1051.365
2012-09-01,ARG,897.096
2012-10-01,ARG,1065.8609999999999
2012-11-01,ARG,1140.129
2012-12-01,ARG,990.628
2013-01-01,ARG,1101.696
2013-02-01,ARG,1286.805
2013-03-01,ARG,1307.327
2013-04-01,ARG,1210.234
2013-05-01,ARG,1167.336
2013-06-01,ARG,1198.725
2013-07-01,ARG,1111.536
2013-08-01,ARG,1169.982
2013-09-01,ARG,1034.507
2013-10-01,ARG,920.685
2013-11-01,ARG,775.912
2013-12-01,ARG,807.9399999999999
2014-01-01,ARG,1084.941
2014-02-01,ARG,907.3510000000001
2014-03-01,ARG,798.594
2014-04-01,ARG,786.0649999999999
2014-05-01,ARG,833.071
2014-06-01,ARG,723.735
2014-07-01,ARG,648.527
2014-08-01,ARG,807.648
2014-09-01,ARG,699.542
2014-10-01,ARG,703.0129999999999
2014-11-01,ARG,687.065
2014-12-01,ARG,719.096
2015-01-01,ARG,741.655
2015-02-01,ARG,618.391
2015-03-01,ARG,628.625
2015-04-01,ARG,603.3100000000001
2015-05-01,ARG,601.339
2015-06-01,ARG,631.4449999999999
2015-07-01,ARG,614.654
2015-08-01,ARG,584.289
2015-09-01,ARG,590.871
2015-10-01,ARG,488.81100000000004
2015-11-01,ARG,487.43
2015-12-01,ARG,438.061
2016-01-01,ARG,501.69800000000004
2016-02-01,ARG,464.767
2016-03-01,ARG,443.647
2016-04-01,ARG,544.117
2016-05-01,ARG,499.983
2016-06-01,ARG,495.09
2016-07-01,ARG,495.889
2016-08-01,ARG,455.094
2016-09-01,ARG,440.70799999999997
2016-10-01,ARG,451.734
2016-11-01,ARG,514.98
2016-12-01,ARG,454.955
2017-01-01,ARG,469.447
2017-02-01,ARG,458.421
2017-03-01,ARG,442.305
2017-04-01,ARG,404.91700000000003
2017-05-01,ARG,407.273
2017-06-01,ARG,431.652
2017-07-01,ARG,447.813
2017-08-01,ARG,402.034
2017-09-01,ARG,376.851
2017-10-01,ARG,361.407
2017-11-01,ARG,356.646
2017-12-01,ARG,350.953
2018-01-01,ARG,374.744
2018-02-01,ARG,405.11400000000003
2018-03-01,ARG,420.16700000000003
2018-04-01,ARG,430.569
2018-05-01,ARG,521.1610000000001
2018-06-01,ARG,608.418
2018-07-01,ARG,555.7669999999999
2018-08-01,ARG,771.35
2018-09-01,ARG,622.7
2018-10-01,ARG,652.1759999999999
2018-11-01,ARG,706.262
2018-12-01,ARG,817.2650000000001
2019-01-01,ARG,675.9879999999999
2019-02-01,ARG,696.918
2019-03-01,ARG,774.091
2019-04-01,ARG,950.359
2019-05-01,ARG,985.2330000000001
2019-06-01,ARG,834.935
2019-07-01,ARG,780.7280000000001
2019-08-01,ARG,2531.946
2019-09-01,ARG,2143.085
2019-10-01,ARG,2278.0550000000003
2019-11-01,ARG,2261.638
2019-12-01,ARG,1743.7830000000001
2020-01-01,ARG,2067.661
2020-02-01,ARG,2282.552
2020-03-01,ARG,3803.1730000000002
2020-04-01,ARG,3472.3820000000005
2020-05-01,ARG,2626.902
2020-06-01,ARG,2495.395
2020-07-01,ARG,2262.5319999999997
2020-08-01,ARG,2147.292
2020-09-01,ARG,1300.259
2020-10-01,ARG,1481.742
2020-11-01,ARG,1410.3300000000002
2020-12-01,ARG,1367.839
2021-01-01,ARG,1445.299
2021-02-01,ARG,1510.769
2021-03-01,ARG,1588.621
2021-04-01,ARG,1551.403
2021-05-01,ARG,1507.847
2021-06-01,ARG,1596.3129999999999
2021-07-01,ARG,1590.955
2021-08-01,ARG,1512.623
2021-09-01,ARG,1606.641
2021-10-01,ARG,1712.1390000000001
2021-11-01,ARG,1913.6109999999999
2021-12-01,ARG,1687.7949999999998
2022-01-01,ARG,1722.991
2022-02-01,ARG,1815.536
2022-03-01,ARG,1718.1290000000001
2022-04-01,ARG,1801.4009999999998
2022-05-01,ARG,1917.539
2022-06-01,ARG,2428.234
2022-07-01,ARG,2398.101
2022-08-01,ARG,2384.897
2022-09-01,ARG,2800.5389999999998
2022-10-01,ARG,2624.387
2022-11-01,ARG,2247.963
2022-12-01,ARG,2195.822
2023-01-01,ARG,1820.675
2023-02-01,ARG,1958.198
2023-03-01,ARG,2300.081
2023-04-01,ARG,2681.37
2023-05-01,ARG,2594.583
2023-06-01,ARG,2037.047
2023-07-01,ARG,1982.299
2023-08-01,ARG,2096.607
2023-09-01,ARG,2538.6510000000003
2023-10-01,ARG,2575.612
2023-11-01,ARG,1984.386
2023-12-01,ARG,1907.328
2024-01-01,ARG,1963.5840000000003
2024-02-01,ARG,1702.35
2024-03-01,ARG,1452.3580000000002
2024-04-01,ARG,1215.4489999999998
2024-05-01,ARG,1340.6779999999999
2024-06-01,ARG,1455.2479999999998
2024-07-01,ARG,1510.413
2024-08-01,ARG,1433.209
2024-09-01,ARG,1283.663
2024-10-01,ARG,983.968
2024-11-01,ARG,754.75
2024-12-01,ARG,634.9770000000001
2025-01-01,ARG,624.592
2025-02-01,ARG,784.116
2025-03-01,ARG,819.402
2025-04-01,ARG,722.254
2025-05-01,ARG,677.684
2025-06-01,ARG,700.9739999999999
2025-07-01,ARG,729.561
2025-08-01,ARG,828.532
2025-09-01,ARG,1221.8439999999998
2025-10-01,ARG,661.579
2025-11-01,ARG,645.384
2025-12-01,ARG,560.5450000000001
2026-01-01,ARG,491.694
2026-02-01,ARG,576.006
2026-03-01,ARG,616.481
2026-04-01,ARG,558.1279999999999
2007-10-01,BRA,165.654
2007-11-01,BRA,219.496
2007-12-01,BRA,220.105
2008-01-01,BRA,254.157
2008-02-01,BRA,264.642
