date,type,country,kappa_country,strength,degree
2009-10-01,mst,ARG,0.7863557944301083,1.6068593645381295,2
2010-01-01,mst,ARG,0.7868958036359869,1.6034617307650094,2
2010-04-01,mst,ARG,0.865230482195669,0.8903590255805578,1
2010-07-01,mst,ARG,0.8694541456250853,0.8955553939173747,1
2010-10-01,mst,ARG,0.8642602785367712,0.8896289546041928,1
2011-01-01,mst,ARG,0.6654283382127313,1.1921134545871517,2
2011-04-01,mst,ARG,0.7310605189240724,2.1234765620643112,3
2011-07-01,mst,ARG,0.722040988474327,2.3256302146889833,3
2011-10-01,mst,ARG,0.9414536049610367,0.8891856894290228,1
2012-01-01,mst,ARG,0.9634492253125994,0.8964462119606164,1
2012-04-01,mst,ARG,0.9583799992344162,0.8714670196293036,1
2012-07-01,mst,ARG,0.772842536860672,1.7434579011613742,2
2012-10-01,mst,ARG,0.765353021414668,2.250948973651116,3
2013-01-01,mst,ARG,0.6728725762949741,1.3139150858474586,2
2013-04-01,mst,ARG,0.643901701700317,1.253577758271346,2
2013-07-01,mst,ARG,0.6750300537271963,1.2044655042375179,2
2013-10-01,mst,ARG,0.6360507805537174,1.1564487617767871,2
2014-01-01,mst,ARG,0.8654276146062951,0.5478366202841286,1
2014-04-01,mst,ARG,0.8901321374431799,0.669977412025611,1
2014-07-01,mst,ARG,0.7664321124809528,0.5230364049313606,1
2014-10-01,mst,ARG,0.7803220599220271,0.4342318673785598,1
2015-01-01,mst,ARG,0.8196417325656609,0.5237292788506527,1
2015-04-01,mst,ARG,0.6620155178744884,0.5438425047102358,1
2015-07-01,mst,ARG,0.6760385504165732,0.5432465681627665,1
2015-10-01,mst,ARG,0.8600644561304636,0.4523501703978945,1
2016-01-01,mst,ARG,0.8047075801554976,0.5716177083107267,1
2016-04-01,mst,ARG,0.6347284524546218,0.39381891012904424,1
2016-07-01,mst,ARG,0.6998911911673856,0.3143331881387686,1
2016-10-01,mst,ARG,0.7885876624446142,0.5175398427852358,1
2017-01-01,mst,ARG,0.7769861546681525,0.5448584577778472,1
2017-04-01,mst,ARG,0.8357851674028964,0.36910532555218734,1
2017-07-01,mst,ARG,0.6936073554573978,0.3842922177456423,1
2017-10-01,mst,ARG,0.7887949755604433,0.4101241486009315,1
2018-01-01,mst,ARG,0.7666438276415013,0.3959047723105305,1
2018-04-01,mst,ARG,0.4988491112196374,0.3708584922680751,1
2018-07-01,mst,ARG,0.7637255474705309,0.6177118730539837,1
2018-10-01,mst,ARG,0.8403096194485258,0.805963200056411,1
2019-01-01,mst,ARG,0.7964808381622286,0.7621689661219796,1
2019-04-01,mst,ARG,0.8646861173399132,1.5161236297680278,2
2019-07-01,mst,ARG,0.7836533456024779,0.7558236943426601,1
2019-10-01,mst,ARG,0.7247922046169479,0.5559568352269372,1
2020-01-01,mst,ARG,0.7535780968242252,0.5950552031524334,1
2020-04-01,mst,ARG,0.8629617976220241,0.7488893822833788,1
2020-07-01,mst,ARG,0.9033283228493779,0.7142525046310791,1
2020-10-01,mst,ARG,0.7890779428203416,0.7092249308641314,1
2021-01-01,mst,ARG,0.7702579586725926,0.7074111134585579,1
2021-04-01,mst,ARG,0.7703163838789113,0.7065057012521951,1
2021-07-01,mst,ARG,0.7697573611842121,0.7069609468502165,1
2021-10-01,mst,ARG,0.8936187634618081,1.7339640173038164,2
2022-01-01,mst,ARG,0.9060507453971911,1.7468139208655147,2
2022-04-01,mst,ARG,0.7120519343484275,1.2731681947830906,2
2022-07-01,mst,ARG,0.6935048129282575,1.314029006220776,2
2022-10-01,mst,ARG,0.6499912563603463,1.2890533473991366,2
2023-01-01,mst,ARG,0.7420355126746323,1.4884222559424067,2
2023-04-01,mst,ARG,0.7093274218796821,1.4317990733276305,2
2023-07-01,mst,ARG,0.7628896927360216,0.7908518864697502,1
2023-10-01,mst,ARG,0.7319004422103124,0.7769166187670685,1
2024-01-01,mst,ARG,0.7686112290857832,0.7437161934757994,1
2024-04-01,mst,ARG,0.770628539333084,0.7485986650407853,1
2024-07-01,mst,ARG,0.7027517832618488,0.7343458193104979,1
2024-10-01,mst,ARG,0.7181799824405748,0.7291050551084851,1
2025-01-01,mst,ARG,0.8402203200048943,0.7497757432789407,1
2025-04-01,mst,ARG,0.9623802935226892,0.6883557003440599,1
2025-07-01,mst,ARG,0.7432713575646406,0.5261513154109001,1
2025-10-01,mst,ARG,0.43778383233886514,0.6178900985316182,2
2026-01-01,mst,ARG,0.30494066563080663,0.575535954340701,2
2026-04-01,mst,ARG,0.3903403836437998,0.662648570922306,2
2009-10-01,mst,BRA,0.9623380093283385,1.8644211977627227,2
2010-01-01,mst,BRA,0.9610827235206465,1.8573292901649063,2
2010-04-01,mst,BRA,0.9658277482026446,1.8653524312928509,2
2010-07-01,mst,BRA,0.9738914560506957,1.8785909534354173,2
2010-10-01,mst,BRA,0.9762075405976768,1.8820309744892039,2
2011-01-01,mst,BRA,0.7574346121841503,2.194293753752751,3
2011-04-01,mst,BRA,0.9425895689810877,1.8604031854613845,2
2011-07-01,mst,BRA,0.9377606610838286,2.778822673754755,3
2011-10-01,mst,BRA,0.9570170782267056,3.7641062622512513,4
2012-01-01,mst,BRA,0.9621992253125994,3.729332574314241,4
2012-04-01,mst,BRA,0.945808026450298,2.7927492487499155,3
2012-07-01,mst,BRA,0.9403680109507715,4.756646475012619,5
2012-10-01,mst,BRA,0.877809710197189,2.796640714676504,3
2013-01-01,mst,BRA,0.8383939921076443,3.56383965065338,4
2013-04-01,mst,BRA,0.8291761270981342,4.559670375056853,5
2013-07-01,mst,BRA,0.9591009901887786,3.784850944484377,4
2013-10-01,mst,BRA,0.988449831039683,0.9633950586285235,1
2014-01-01,mst,BRA,0.99,0.9602094953804408,1
2014-04-01,mst,BRA,0.99,0.968967030239491,1
2014-07-01,mst,BRA,0.766354946642855,1.486511949793547,2
2014-10-01,mst,BRA,0.99,0.9663443338607879,1
2015-01-01,mst,BRA,0.8595906766736974,1.681360491747217,2
2015-04-01,mst,BRA,0.8960878399299038,0.9083961737755175,1
2015-07-01,mst,BRA,0.8278581400316107,0.8679296216328207,1
2015-10-01,mst,BRA,0.8745785255045365,1.6709917702600077,2
2016-01-01,mst,BRA,0.8803611001013938,1.666744554705307,2
2016-04-01,mst,BRA,0.9391779832451601,0.7910212487633053,1
2016-07-01,mst,BRA,0.9286696682356179,0.7978726763247854,1
2016-10-01,mst,BRA,0.9122161971785583,0.7682770556094332,1
2017-01-01,mst,BRA,0.8488579687447382,0.7512555390139835,1
2017-04-01,mst,BRA,0.8939852693180335,0.774976734972738,1
2017-07-01,mst,BRA,0.899462965229769,0.7709234762722083,1
2017-10-01,mst,BRA,0.877315353218707,0.7335628841629779,1
2018-01-01,mst,BRA,0.8637324374363782,0.7189700431425233,1
2018-04-01,mst,BRA,0.7972483749494025,0.721337675912381,1
2018-07-01,mst,BRA,0.6572185095808453,1.9982994859976997,3
2018-10-01,mst,BRA,0.8286517083537861,2.255304566119221,3
2019-01-01,mst,BRA,0.8247120307102915,1.4256908298332354,2
2019-04-01,mst,BRA,0.836127601488388,0.7992983500928195,1
2019-07-01,mst,BRA,0.8228627586465879,1.4362869637168503,2
2019-10-01,mst,BRA,0.876215800071934,0.7013159309778699,1
2020-01-01,mst,BRA,0.8022180308155913,0.6946839506801631,1
