date,type,kappa_ollivier,kappa_forman,rho_max,rho_frob,sfi_max,sfi_frob,hhi,density,n_nodes,n_edges
2009-10-01,mst,0.9046599276638366,1.7677380242318428,0.6777652962631577,0.4776444250257711,2.1033280661683937,0.9144047616402606,0.1068426626252911,0.18181818181818182,11,10
2010-01-01,mst,0.9049744982542185,1.7645236151456518,0.6773946496744719,0.477860241071344,2.099762601553075,0.9151960426301068,0.10686287716291838,0.18181818181818182,11,10
2010-04-01,mst,0.9051864652457887,1.756431562986068,0.6950056348597581,0.48955796532283774,2.2787490993159234,0.9590863057202311,0.11121029532565944,0.18181818181818182,11,10
2010-07-01,mst,0.9084078773608324,1.7567417842305837,0.6966307680113486,0.4883293120280802,2.29631318721672,0.9543820342018098,0.11105458730245996,0.18181818181818182,11,10
2010-10-01,mst,0.9074457199289073,1.7516985576356745,0.6958282149938052,0.4887057473857177,2.287615910790785,0.9558209287253513,0.11108484379907924,0.18181818181818182,11,10
2011-01-01,mst,0.8143986661514715,1.4543078251710788,0.7856272103479465,0.4814080998287703,3.6647711289436065,0.9282985323716356,0.10631998888539815,0.18181818181818182,11,10
2011-04-01,mst,0.8519603320606353,1.6526053017837685,0.6842887982930805,0.4863253409184189,2.1674517552542163,0.9467575094865278,0.10746872341518464,0.18181818181818182,11,10
2011-07-01,mst,0.8255156184136558,1.6030302363363211,0.6854339549700073,0.5219050156803863,2.1789826518137185,1.0916345763867812,0.11845603819914459,0.18181818181818182,11,10
2011-10-01,mst,0.8619811991073847,1.6559738105980177,0.5741532230219194,0.5605156460282781,1.3482624597895512,1.2753938586499571,0.13695642954734316,0.18181818181818182,11,10
2012-01-01,mst,0.8658966182799437,1.631548768847002,0.5444932408392336,0.5246494040668399,1.1953571047824127,1.1037104161758784,0.12615673923120807,0.18181818181818182,11,10
2012-04-01,mst,0.8609053549596675,1.634996943941422,0.4787926242284098,0.5783453738391926,0.9186221194963136,1.371609222232576,0.144383673607585,0.18181818181818182,11,10
2012-07-01,mst,0.868447526150549,1.678398614744689,0.47245614106202566,0.5750877173824015,0.8955769895855699,1.3534269092897793,0.13755941067980998,0.18181818181818182,11,10
2012-10-01,mst,0.8873142670407995,1.7347112063224768,0.7011590059895163,0.5055924003986813,2.34626112227735,1.0226226312184152,0.11288302632007513,0.18181818181818182,11,10
2013-01-01,mst,0.8745789737166346,1.7161952403254452,0.559971919493316,0.5087274115687028,1.2725822380438063,1.0355298128746433,0.11459226670477561,0.18181818181818182,11,10
2013-04-01,mst,0.8494680535378294,1.6732807598934385,0.48466508120179624,0.5720536066521063,0.9404856211414285,1.3367412730759067,0.1341993363291813,0.18181818181818182,11,10
2013-07-01,mst,0.867562314631401,1.6854672233796422,0.5437706183832774,0.5320957501396085,1.191879875110933,1.1371893935529969,0.1184195519829653,0.18181818181818182,11,10
2013-10-01,mst,0.8346957051324779,1.6184762399911843,0.6658519692207446,0.5114194352674993,1.9926856000555613,1.0467453521150663,0.11767223643814809,0.18181818181818182,11,10
2014-01-01,mst,0.8382936424147648,1.5687170385611129,0.5749344756874808,0.5158787399565766,1.3525784680311406,1.0655981931268723,0.11620377140122054,0.18181818181818182,11,10
2014-04-01,mst,0.8588511977742469,1.6625808747834596,0.5773710688008288,0.49685458224923473,1.3661418473235867,0.9874969834175321,0.11707443433593902,0.18181818181818182,11,10
2014-07-01,mst,0.8344899161406945,1.59720459463701,0.5677324228927767,0.4938763099170639,1.3133819258249655,0.97580160659173,0.11406173944180273,0.18181818181818182,11,10
2014-10-01,mst,0.8071106299640007,1.4991134538102,0.6558184986030892,0.5381771475918975,1.9054437729551243,1.165332431657848,0.1263707520880106,0.18181818181818182,11,10
2015-01-01,mst,0.8157517909508218,1.552680494424538,0.6642511051513107,0.513943734107379,1.9784163562196273,1.0573749793422453,0.1173490572257199,0.18181818181818182,11,10
2015-04-01,mst,0.8221805202535979,1.619247766836743,0.5625265543260473,0.543934249761257,1.2858530269407393,1.192666297516348,0.12331232992856639,0.18181818181818182,11,10
2015-07-01,mst,0.8327900493750409,1.603217880016117,0.5103239670848635,0.5505197143607544,1.0421665198658097,1.2247916804133283,0.13399510222187389,0.18181818181818182,11,10
2015-10-01,mst,0.850881158179894,1.5486698819168123,0.495188355826334,0.5476243262025157,0.9809368732706544,1.2105521095010767,0.12931043934721595,0.18181818181818182,11,10
2016-01-01,mst,0.8634113159916821,1.6592163134271338,0.5639392691588994,0.5512182936327847,1.2932585515580335,1.2282548192411187,0.12917969192971143,0.18181818181818182,11,10
2016-04-01,mst,0.8669059026311791,1.6416191388627823,0.48697988443459056,0.5778074000537057,0.9492413058655225,1.3685872280262765,0.1411435750522889,0.18181818181818182,11,10
2016-07-01,mst,0.836447773107259,1.5558003279007915,0.42631346315396396,0.6090679958348078,0.7431121976431817,1.5579895975399343,0.1625239013810383,0.18181818181818182,11,10
2016-10-01,mst,0.8843428596613709,1.6067242147365939,0.5631347948732484,0.5525022215905361,1.2890355841222487,1.234647965302282,0.13449703797858756,0.18181818181818182,11,10
2017-01-01,mst,0.8634146146905689,1.6095216890209207,0.5677424833270581,0.5524628381349423,1.313435767865728,1.2344513153558454,0.13195800244150718,0.18181818181818182,11,10
2017-04-01,mst,0.8453323721283145,1.4469459205726576,0.4976866577298214,0.5750131950256615,0.9907892461716282,1.353014230783899,0.1471639076829147,0.18181818181818182,11,10
2017-07-01,mst,0.839144619102299,1.5269364101124794,0.434914755214719,0.6066099162790164,0.7696445080245836,1.5420061190694918,0.16359184055826326,0.18181818181818182,11,10
2017-10-01,mst,0.8093577613948575,1.4328137225530004,0.6862684667541137,0.5369526087890196,2.187438602852371,1.1596061633880699,0.11907309211279926,0.18181818181818182,11,10
